backgroundCompilationEnabled,freqInlineSize,minInliningThreshold,inlineSmallCode,graalBootstrapEnabled,compileThreshold,codeFlushingEnabled,onStackReplacePercentage,loopMinUnroll,counterDecayEnabled,maxInlineLevel,loopUnrollLimit,loopMaxUnroll,maxRecursiveInlineLevel,tieredCompilationEnabled,maxInlineSize,compileHugeMethodsEnabled,graalCompilerEnabled,result
1,166,668,1,5508,11,1,3,1,1,681,34,497,2,0,41,22,0,6522
1,105,595,1,8942,13,1,5,0,1,896,27,153,0,0,63,26,0,4519
1,66,720,1,9496,15,1,2,1,1,571,36,421,0,0,67,11,0,5414
1,382,1588,1,19097,6,1,2,0,0,859,73,490,1,0,35,14,0,4443
1,398,1205,1,27843,5,1,10,0,1,747,41,430,2,0,42,8,0,4105
1,77,1304,0,22324,5,1,10,0,0,525,24,461,2,0,90,7,0,4444
1,376,1133,1,17825,9,1,2,0,1,836,28,431,3,0,128,26,0,4309
1,266,1999,1,16513,7,1,4,0,1,438,50,428,3,0,97,19,0,4210
1,390,1172,1,14947,15,1,2,0,1,874,25,413,2,0,24,14,0,3788
1,244,799,1,27469,7,1,2,0,1,535,29,483,2,0,36,22,0,4110
1,359,1798,0,12424,6,1,4,0,1,403,25,443,3,0,15,17,0,4531
1,146,1799,1,12065,6,1,5,0,1,437,20,441,2,0,53,21,0,4853
1,398,1897,1,20803,13,0,2,0,0,709,33,472,3,0,29,25,0,4097
1,399,1900,1,8270,15,1,7,0,0,192,48,462,2,0,31,15,0,6966
1,96,1831,1,14875,15,1,4,0,0,606,70,411,2,0,112,17,0,4758
0,65,553,1,5101,10,1,8,1,0,938,37,216,3,0,42,6,0,3639
0,357,836,1,5786,6,1,5,1,0,626,24,138,1,0,60,13,1,3804
0,237,1889,1,3249,6,1,7,1,0,572,35,164,1,0,58,6,1,3801
0,349,1649,1,48477,12,1,9,1,0,204,26,117,3,0,11,12,0,4620
0,204,1817,1,7894,9,1,9,0,0,714,28,171,3,0,47,26,0,3934
1,343,1337,1,29989,12,1,2,1,1,200,48,457,1,0,29,26,1,3690
0,182,1950,1,10203,5,1,6,1,1,837,24,385,3,0,43,12,0,5188
0,365,1325,1,3876,11,0,9,0,1,198,36,375,1,0,30,22,0,4118
0,393,1925,1,7027,11,0,8,0,1,654,28,258,2,0,32,16,0,3607
1,102,946,1,7856,8,1,9,0,0,390,58,355,3,0,24,13,1,3682
0,345,1417,1,7123,14,1,2,1,1,206,48,390,2,0,51,9,1,4421
1,235,831,1,11330,5,1,2,0,1,920,79,288,3,0,17,12,0,3758
1,206,1874,1,1935,5,1,2,1,0,419,27,377,2,0,68,7,1,3296
1,126,1216,1,4935,7,1,7,0,0,988,56,425,3,0,114,16,1,4336
