minInliningThreshold,freqInlineSize,loopMinUnroll,inlineSmallCode,maxInlineLevel,loopUnrollLimit,loopMaxUnroll,maxRecursiveInlineLevel,maxInlineSize,result
104,1014,10,14,28,336,1,53,6,3579
99,1853,4,13,28,360,2,52,23,3557
370,1452,3,13,38,345,2,50,22,3599
372,1517,4,9,23,380,2,39,21,3525
173,823,4,15,29,368,2,50,20,3572
236,568,5,13,39,306,0,50,25,3560
96,676,2,11,39,243,0,50,23,3548
207,507,8,5,26,378,2,51,23,3504
86,1378,6,13,31,376,2,50,24,3584
266,1464,7,8,30,380,2,52,21,3579
86,1499,3,11,26,248,3,48,26,3487
191,761,8,11,26,339,3,47,18,3545
192,1879,2,5,39,355,1,50,26,3924
95,1158,2,12,23,366,3,47,22,3532
50,1308,6,11,23,253,3,49,7,3535
109,882,2,10,39,382,2,43,11,4081
370,1241,9,15,25,243,3,49,8,3487
119,984,2,9,27,205,2,38,22,3711
246,535,5,12,27,379,3,49,25,3516
67,1394,2,7,26,373,2,44,25,3532
219,945,2,11,38,373,1,50,15,3602
243,1593,8,11,25,381,3,49,20,3543
65,1299,4,5,22,379,3,45,24,3526
119,516,5,14,26,375,2,46,22,3498
128,830,2,15,20,382,2,48,13,4022
91,1725,4,10,25,374,3,42,18,3519
52,579,10,11,22,374,2,41,21,3708
295,1947,3,11,23,378,2,51,25,3543
323,661,5,13,20,352,2,52,26,3541
182,680,2,14,20,376,0,55,19,3841
172,1728,2,15,28,379,2,47,9,3544
182,519,4,10,25,383,2,49,24,3942
104,801,6,10,26,380,3,52,15,3558
77,1102,7,9,23,377,2,44,16,3525
335,633,7,15,21,379,2,45,22,3526
382,1117,8,9,20,384,3,49,16,4029
163,1353,2,9,35,380,2,45,21,3586
388,1933,2,14,20,375,3,49,8,3540
150,972,5,12,27,384,3,50,8,4047
225,1829,2,5,20,387,3,50,23,4131
270,1624,7,8,22,356,3,47,19,3522
51,578,7,5,21,292,3,50,14,3492
202,1454,8,15,28,381,3,49,22,3557
284,503,4,13,28,361,3,51,26,3512
161,1861,2,14,25,379,3,43,20,3528
400,1455,6,8,26,379,3,47,18,3546
182,1231,4,5,25,381,2,47,22,3525
223,1883,2,10,26,379,3,46,14,3527
66,1610,2,15,20,356,3,47,25,3525
347,1814,3,5,20,372,3,46,26,3520
273,1173,6,5,20,381,3,49,18,3531
352,696,6,15,27,243,3,52,20,3504
309,1523,5,12,26,379,2,43,19,3532
153,1769,10,12,29,252,3,50,13,3527
264,748,2,8,29,378,3,50,22,3567
84,719,5,5,21,287,3,46,16,3522
