backgroundCompilationEnabled,compileThreshold,maxInlineSize,freqInlineSize,counterDecayEnabled,result
1,24833,144,4839,1,917
0,17457,96,4869,0,1527
0,18176,64,4989,0,757
0,17838,91,4767,0,756
0,17789,105,4830,0,755
0,17446,117,1838,0,757
0,18128,131,1422,0,757
0,18197,112,4309,0,756
0,17467,46,4289,0,757
0,18186,118,2113,0,757
0,17513,93,1022,0,759
0,17787,104,4806,0,756
0,18071,13,2027,0,759
0,17812,88,4538,0,760
0,18070,10,4346,0,1530
