minInliningThreshold,freqInlineSize,loopMinUnroll,inlineSmallCode,maxInlineLevel,loopUnrollLimit,loopMaxUnroll,maxRecursiveInlineLevel,maxInlineSize,result
107,1705,10,8,43,136,2,12,23,3302
285,580,9,5,46,105,1,20,23,3788
243,1162,9,8,44,169,2,10,24,3292
345,1680,10,7,44,130,2,10,24,3262
249,1437,8,6,40,106,1,24,25,3249
299,901,7,13,41,107,1,17,26,3266
268,734,10,12,40,119,0,10,25,3796
399,1704,9,9,49,160,2,11,23,3822
367,703,7,7,44,107,1,34,24,3818
363,1053,8,15,42,116,1,14,21,3874
367,989,10,7,40,115,2,15,25,3819
384,1972,10,15,49,148,1,18,21,3264
257,1203,7,11,50,142,0,11,25,3780
314,1661,9,15,42,150,2,11,21,3516
315,1140,10,8,49,131,2,14,25,3254
274,805,8,9,43,104,2,11,24,3836
208,1220,6,6,42,106,1,27,24,3857
351,1716,10,8,52,116,2,19,23,3806
356,1861,9,10,48,112,2,18,23,3259
212,837,8,11,43,118,0,14,22,3574
245,720,10,5,45,139,1,20,26,3769
243,1739,7,6,45,136,2,17,18,3227
319,1162,10,8,44,176,1,14,24,3282
240,640,10,15,48,137,1,14,26,3799
335,1058,10,8,43,150,1,14,22,3869
222,1211,7,14,46,113,1,21,20,3745
247,952,10,13,43,170,2,15,24,3299
381,577,7,12,41,128,0,15,25,3774
320,1049,10,13,43,167,2,17,20,3282
88,1254,9,9,42,142,0,10,25,3262
280,1464,6,7,44,105,2,18,18,2961
385,731,8,9,44,112,2,19,20,3783
263,1253,8,11,46,104,0,17,26,3242
256,553,9,15,41,105,1,18,20,3261
333,1128,9,12,51,125,1,20,22,3267
231,1565,8,13,43,120,1,29,18,3763
388,1784,6,7,44,110,2,15,23,3774
231,569,7,7,47,113,1,13,26,3238
127,995,6,9,41,163,2,18,22,3284
239,1234,9,11,51,115,0,15,23,3281
273,873,10,15,41,152,1,16,20,3814
234,1150,10,14,44,148,1,22,21,3786
200,1308,9,9,48,126,2,10,25,3026
205,1848,3,11,43,105,2,19,19,3771
398,1099,6,15,39,161,2,27,18,3657
268,1796,9,8,43,166,2,15,22,3267
115,789,6,15,34,117,0,18,25,3270
309,678,8,7,45,102,1,14,22,3242
348,1733,9,10,43,123,1,11,24,3257
223,1736,6,8,43,154,2,16,18,3900
258,535,6,6,46,118,2,17,24,3781
172,1320,8,15,45,102,0,25,24,3793
259,1316,7,9,46,104,2,10,22,3791
342,1438,10,14,43,157,1,12,20,3563
168,1428,8,9,44,159,1,11,23,3854
213,1663,10,5,42,132,1,20,19,3232
182,738,9,11,46,112,2,10,26,3807
100,1171,8,6,42,122,2,16,19,3815
314,763,8,11,43,114,2,16,24,3274
252,1348,6,7,41,131,2,16,23,3218
252,762,7,15,43,134,2,10,18,3261
322,802,6,13,45,103,2,20,17,3811
319,1922,9,15,41,111,1,14,20,3259
258,1585,7,6,42,118,0,14,25,3237
335,1292,10,6,40,125,2,13,24,3237
370,1725,8,15,45,102,1,18,24,3224
397,720,10,12,51,103,1,12,26,3285
256,561,7,10,47,125,2,15,26,3791
63,1634,7,5,40,109,1,13,25,3256
253,1005,9,8,48,118,2,11,19,3577
186,1095,7,12,43,100,1,18,23,3314
210,1788,9,10,39,129,0,12,23,3247
87,1295,9,11,43,139,0,22,26,3262
366,1535,7,9,43,127,1,10,24,3771
368,1619,8,8,42,108,1,13,20,3005
270,605,8,13,49,163,1,17,20,3787
320,1600,9,14,43,118,0,10,23,3528
236,1604,7,7,43,107,0,19,23,3739
195,1460,7,6,49,112,2,17,24,3808
216,697,9,12,51,142,1,14,26,3829
63,1425,10,5,42,130,2,12,23,3820
75,1249,7,5,50,130,1,10,20,3521
305,1126,9,6,41,106,0,17,25,3799
290,872,10,12,43,107,0,16,23,3290
332,1318,10,13,48,124,1,18,26,2965
289,635,8,13,43,109,1,10,26,3271
186,1148,8,5,44,121,2,13,21,3818
290,1238,6,11,44,119,2,14,25,3227
91,1985,7,7,48,136,1,13,26,2995
394,1686,10,10,54,154,1,20,21,3685
377,1657,8,7,45,104,1,29,21,3238
