minInliningThreshold,freqInlineSize,loopMinUnroll,inlineSmallCode,maxInlineLevel,loopUnrollLimit,loopMaxUnroll,maxRecursiveInlineLevel,maxInlineSize,result
50,2000,2,15,20,100,0,10,6,3655
50,2000,2,15,20,100,0,10,6,3657
50,2000,2,15,20,100,0,10,6,3654
50,2000,2,15,20,100,0,10,6,3654
50,2000,2,15,20,100,0,10,6,3656
50,2000,2,15,20,100,0,10,6,3657
50,2000,2,15,20,100,0,10,6,3654
50,2000,2,15,20,100,0,10,6,3659
50,2000,2,15,20,100,0,10,6,3657
50,2000,2,15,20,100,0,10,6,3659
50,2000,2,15,20,100,0,10,6,3659
50,2000,2,15,20,100,0,10,6,3663
50,2000,2,15,20,100,0,10,6,3585
50,2000,2,15,20,100,0,10,6,3659
50,2000,2,15,20,100,0,10,6,3654
50,2000,2,15,20,100,0,10,6,3653
50,2000,2,15,20,100,0,10,6,3650
50,2000,2,15,20,100,0,10,6,3648
50,2000,2,15,20,100,0,10,6,3652
50,2000,2,15,20,100,0,10,6,3656
50,2000,2,15,20,100,0,10,6,3660
50,2000,2,15,20,100,0,10,6,3653
50,2000,2,15,20,100,0,10,6,3660
50,2000,2,15,20,100,0,10,6,3659
50,2000,2,15,20,100,0,10,6,3662
50,2000,2,15,20,100,0,10,6,3650
50,2000,2,15,20,100,0,10,6,3648
50,2000,2,15,20,100,0,10,6,3652
50,2000,2,15,20,100,0,10,6,3656
50,2000,2,15,20,100,0,10,6,3658
50,2000,2,15,20,100,0,10,6,3657
50,2000,2,15,20,100,0,10,6,3652
50,2000,2,15,20,100,0,10,6,3656
50,500,2,15,20,100,0,10,6,3632
50,2000,2,15,20,100,0,10,6,3653
50,2000,2,15,20,100,0,10,6,3654
50,2000,2,15,20,100,0,10,6,3589
50,2000,2,15,20,100,0,10,6,3658
50,2000,2,15,20,100,3,10,6,3659
50,500,2,15,20,100,0,10,6,3327
50,2000,2,15,20,100,0,10,6,3666
50,2000,2,15,20,100,0,10,6,3651
50,2000,2,15,20,100,0,10,6,3587
50,2000,2,15,20,100,0,10,26,3650
50,2000,2,15,20,100,0,10,6,3655
50,2000,2,15,20,100,0,10,6,3660
50,2000,2,15,20,100,0,10,6,3658
50,2000,2,15,20,100,0,10,6,3657
50,2000,2,5,20,100,0,10,6,3587
50,2000,2,15,20,100,0,10,6,3660
50,2000,2,15,20,100,0,10,6,3655
50,2000,2,15,20,100,0,10,6,3579
50,2000,2,15,20,100,0,10,26,3588
50,500,2,15,20,100,0,10,6,3629
50,2000,2,15,20,100,0,10,6,3656
50,500,2,15,20,100,0,10,6,3635
50,500,2,15,20,100,0,10,6,3634
50,500,2,15,20,100,0,10,6,3629
50,500,2,7,20,100,0,10,22,3633
50,2000,2,15,20,100,0,10,6,3583
50,2000,2,15,20,100,0,10,6,3584
50,2000,2,13,20,100,0,10,6,3658
126,500,2,15,20,100,0,10,6,3629
50,2000,2,15,20,100,0,10,6,3660
50,2000,2,15,20,100,0,10,6,3650
50,500,2,15,20,100,0,10,6,3635
